Respondents;Response Date;Responses
1;Oct 29 2020 07:18 AM;100
2;Oct 26 2020 04:07 PM;80
3;Oct 26 2020 03:40 PM;100
4;Oct 26 2020 03:30 PM;77
5;Oct 26 2020 12:43 PM;100
6;Oct 26 2020 11:47 AM;50
7;Oct 26 2020 11:07 AM;100
8;Oct 26 2020 09:01 AM;15
9;Oct 24 2020 09:16 PM;52
10;Oct 24 2020 07:36 PM;8
11;Oct 24 2020 06:44 PM;93
12;Oct 24 2020 06:37 PM;50
13;Oct 24 2020 02:23 PM;99
14;Oct 24 2020 11:23 AM;60
15;Oct 24 2020 10:24 AM;100
16;Oct 24 2020 10:02 AM;10
17;Oct 24 2020 10:02 AM;100
18;Oct 24 2020 09:12 AM;100
19;Oct 24 2020 03:14 AM;30
20;Oct 24 2020 12:25 AM;70
21;Oct 23 2020 11:35 PM;75
22;Oct 23 2020 10:45 PM;52
23;Oct 23 2020 09:52 PM;73
24;Oct 23 2020 09:05 PM;69
25;Oct 23 2020 08:59 PM;65
26;Oct 23 2020 08:14 PM;100
27;Oct 23 2020 08:10 PM;57
28;Oct 23 2020 04:49 PM;88
29;Oct 23 2020 04:45 PM;77
30;Oct 23 2020 04:43 PM;19
31;Oct 23 2020 04:43 PM;0
32;Oct 23 2020 04:42 PM;87
34;Oct 23 2020 04:41 PM;33
35;Oct 23 2020 04:41 PM;100
35;Oct 23 2020 04:40 PM;51
36;Oct 23 2020 04:40 PM;80
37;Oct 23 2020 04:22 PM;90
38;Oct 23 2020 03:16 PM;70
39;Oct 23 2020 03:14 PM;100
40;Oct 23 2020 03:09 PM;100
41;Oct 23 2020 02:42 PM;81
42;Oct 23 2020 02:24 PM;100
43;Oct 23 2020 02:00 PM;80
44;Oct 23 2020 01:53 PM;100
45;Oct 23 2020 01:50 PM;100
46;Oct 23 2020 01:47 PM;40
47;Oct 23 2020 01:37 PM;10
48;Oct 23 2020 01:28 PM;80
49;Oct 23 2020 01:01 PM;71
50;Oct 23 2020 01:00 PM;85
51;Oct 23 2020 12:47 PM;59
52;Oct 23 2020 12:09 PM;100
